square_feet,bedrooms,bathrooms,age_years,distance_to_downtown,garage_spaces,lot_size,has_pool,price,neighborhood_type,property_type,renovation_status,high_end,price_category,school_quality,price_change_pct,days_on_market,energy_efficiency
1250,2,1,45,5.2,1,0.15,0,189000,suburban,apartment,none,0,budget,3,1.2,45,D
1570,3,2,27,3.8,1,0.18,0,249000,suburban,townhouse,partial,0,standard,4,-0.5,32,C
2100,3,2,12,7.6,2,0.22,0,345000,suburban,single_family,partial,0,premium,4,2.1,28,C
3200,4,3,5,12.5,2,0.35,1,465000,rural,single_family,full,1,luxury,5,0.8,21,B
1890,3,2,31,2.1,1,0.12,0,279000,urban,townhouse,partial,0,standard,3,1.5,30,C
1780,3,1.5,24,4.6,1,0.17,0,259000,suburban,townhouse,none,0,standard,4,-0.3,35,D
2550,4,2.5,15,8.3,2,0.27,0,375000,suburban,single_family,partial,0,premium,5,2.3,25,C
1400,2,1,35,1.8,1,0.1,0,199000,urban,apartment,none,0,budget,3,-1.2,42,E
3100,5,3.5,7,9.2,3,0.3,1,529000,suburban,single_family,full,1,luxury,5,3.1,19,B
1800,3,2,22,5.5,2,0.16,0,275000,suburban,townhouse,none,0,standard,4,0.5,31,C
2300,4,2.5,18,6.7,2,0.24,1,389000,suburban,single_family,partial,0,premium,4,1.8,24,C
1600,3,1.5,30,3.2,1,0.14,0,242000,urban,townhouse,none,0,standard,3,-0.7,38,D
4200,5,4.5,3,15.6,3,0.42,1,685000,rural,single_family,full,1,luxury,5,4.2,15,A
1950,3,2,21,4.8,2,0.2,0,299000,suburban,townhouse,partial,0,standard,4,0.6,29,C
2400,4,3,9,8.5,2,0.25,1,425000,suburban,single_family,full,0,premium,5,2.5,22,B
1700,3,2,25,5.1,1,0.16,0,262000,suburban,townhouse,partial,0,standard,3,0.2,33,D
2800,4,3.5,8,10.2,2,0.28,1,475000,suburban,single_family,full,1,luxury,5,3.0,20,B
1350,2,1,40,2.3,1,0.12,0,192000,urban,apartment,none,0,budget,2,-1.5,48,E
3500,5,4,4,13.5,3,0.36,1,595000,rural,single_family,full,1,luxury,5,3.5,17,A
2150,3,2.5,16,7.9,2,0.23,0,352000,suburban,single_family,partial,0,premium,4,1.9,26,C
1850,3,2,20,4.3,2,0.19,0,284000,suburban,townhouse,partial,0,standard,4,0.4,32,C
2650,4,3,10,9.7,2,0.26,1,445000,suburban,single_family,full,1,premium,5,2.8,21,B
1550,3,1,32,2.9,1,0.13,0,232000,urban,townhouse,none,0,budget,3,-0.8,40,D
3300,5,3.5,6,12.1,3,0.33,1,549000,rural,single_family,full,1,luxury,5,3.3,18,A
1900,3,2,19,5.7,2,0.18,0,289000,suburban,townhouse,partial,0,standard,4,0.7,30,C
1650,3,1.5,28,3.5,1,0.16,0,255000,urban,townhouse,none,0,standard,3,-0.4,36,D
2250,4,2,14,8.1,2,0.21,0,365000,suburban,single_family,partial,0,premium,4,2.0,25,C
3400,5,3.5,4,13.2,3,0.38,1,575000,rural,single_family,full,1,luxury,5,3.4,16,A
1750,3,1.5,26,3.9,1,0.15,0,265000,urban,townhouse,partial,0,standard,3,0.1,35,D
2950,4,3,6,10.5,2,0.31,1,510000,suburban,single_family,full,1,luxury,5,3.2,19,B
1500,2,1,38,2.5,1,0.11,0,210000,urban,apartment,none,0,budget,2,-1.0,43,E
2700,4,3,11,9.3,2,0.29,1,455000,suburban,single_family,full,1,premium,5,2.7,22,B
1920,3,2,23,4.9,2,0.19,0,295000,suburban,townhouse,partial,0,standard,4,0.5,31,C
3700,5,4,2,14.8,3,0.4,1,625000,rural,single_family,full,1,luxury,5,3.8,14,A
2050,3,2,17,6.2,2,0.22,0,325000,suburban,single_family,partial,0,premium,4,1.5,27,C
1480,2,1.5,36,2.7,1,0.13,0,215000,urban,apartment,none,0,budget,3,-0.9,41,D
2850,4,3,9,10.8,2,0.32,1,495000,suburban,single_family,full,1,luxury,5,3.1,20,B
1980,3,2,18,5.4,2,0.18,0,305000,suburban,townhouse,partial,0,standard,4,0.8,29,C
3250,5,3.5,5,12.9,3,0.34,1,545000,rural,single_family,full,1,luxury,5,3.4,17,A
1620,3,1.5,29,3.4,1,0.14,0,245000,urban,townhouse,none,0,standard,3,-0.6,37,D
4050,5,4,1,16.3,3,0.45,1,675000,rural,single_family,full,1,luxury,5,4.0,13,A
2220,4,2,13,7.8,2,0.23,0,358000,suburban,single_family,partial,0,premium,4,1.7,26,C
1380,2,1,42,2.0,1,0.11,0,195000,urban,apartment,none,0,budget,2,-1.4,46,E
3150,5,3,7,11.4,3,0.32,1,535000,suburban,single_family,full,1,luxury,5,3.2,18,A
1720,3,1.5,33,3.0,1,0.15,0,252000,urban,townhouse,none,0,standard,3,-0.2,39,D
2480,4,2.5,15,8.9,2,0.26,1,410000,suburban,single_family,full,0,premium,4,2.2,23,B
1830,3,2,25,4.7,2,0.17,0,278000,suburban,townhouse,partial,0,standard,3,0.3,34,C
3650,5,4.5,3,14.2,3,0.39,1,615000,rural,single_family,full,1,luxury,5,3.7,15,A
2350,4,2.5,16,7.4,2,0.24,0,372000,suburban,single_family,partial,0,premium,4,2.1,24,C
1530,3,1,37,2.6,1,0.12,0,225000,urban,apartment,none,0,budget,2,-1.1,44,E
